dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,cazo,62.639999,84.215996,0.032557,888
shot_noise,cazo,64.105995,85.259995,0.035073,888
impulse_noise,cazo,64.136002,85.495995,0.033423,888
defocus_blur,cazo,60.107998,82.573997,0.036064,888
glass_blur,cazo,61.399998,83.313995,0.033703,888
motion_blur,cazo,66.192001,86.843994,0.034635,888
zoom_blur,cazo,65.417999,86.195999,0.035356,888
snow,cazo,72.751999,90.951996,0.04935,888
frost,cazo,70.713997,89.481995,0.050922,888
fog,cazo,74.568001,92.063995,0.06337,888
brightness,cazo,81.337997,96.087997,0.057421,888
contrast,cazo,68.949997,88.764,0.039034,888
elastic_transform,cazo,72.725998,90.865997,0.044067,888
pixelate,cazo,75.809998,93.021996,0.048261,888
jpeg_compression,cazo,74.463997,92.339996,0.046899,888
ImageNet-C_Overall,cazo,69.02146506666665,88.49852953333331,0.04267566666666667,888
gaussian_noise,cazo,62.557999,84.019997,0.033313,42
shot_noise,cazo,64.222,85.491997,0.032914,42
impulse_noise,cazo,64.515999,85.607994,0.033831,42
defocus_blur,cazo,60.233997,82.523994,0.031772,42
glass_blur,cazo,61.199997,83.171997,0.032882,42
motion_blur,cazo,66.068001,86.743996,0.03333,42
zoom_blur,cazo,65.330002,86.306,0.03599,42
snow,cazo,73.031998,91.171997,0.050235,42
frost,cazo,70.919998,89.669998,0.048623,42
fog,cazo,74.477997,92.063995,0.065129,42
brightness,cazo,81.304001,96.068001,0.058667,42
contrast,cazo,69.068001,88.839996,0.044863,42
elastic_transform,cazo,72.470001,90.787994,0.041913,42
pixelate,cazo,75.715996,92.931999,0.049651,42
jpeg_compression,cazo,74.425995,92.417999,0.048524,42
ImageNet-C_Overall,cazo,69.03613213333333,88.52119693333333,0.0427758,42
gaussian_noise,cazo,62.559998,83.998001,0.030571,2025
shot_noise,cazo,64.127998,85.375999,0.035083,2025
impulse_noise,cazo,64.143997,85.559998,0.034399,2025
defocus_blur,cazo,59.961998,82.5,0.034736,2025
glass_blur,cazo,61.121998,83.0,0.032336,2025
motion_blur,cazo,66.360001,87.091995,0.032198,2025
zoom_blur,cazo,64.804001,85.867996,0.034701,2025
snow,cazo,72.939995,91.031998,0.049011,2025
frost,cazo,70.507996,89.332001,0.051619,2025
fog,cazo,74.673996,92.068001,0.063891,2025
brightness,cazo,81.159996,96.077995,0.057099,2025
contrast,cazo,69.507996,88.885994,0.046759,2025
elastic_transform,cazo,72.335999,90.897995,0.044961,2025
pixelate,cazo,75.753998,93.009995,0.048139,2025
jpeg_compression,cazo,74.255997,92.327995,0.047916,2025
ImageNet-C_Overall,cazo,68.94773093333335,88.46839753333333,0.042894600000000005,2025
gaussian_noise,cazo,62.669998,84.161995,0.032817,2020
shot_noise,cazo,64.217995,85.259995,0.037713,2020
impulse_noise,cazo,64.141998,85.491997,0.032224,2020
defocus_blur,cazo,60.166,82.203995,0.03383,2020
glass_blur,cazo,61.507999,83.451996,0.03386,2020
motion_blur,cazo,66.089996,86.923996,0.032394,2020
zoom_blur,cazo,65.084,85.995995,0.034984,2020
snow,cazo,72.650002,90.956001,0.048162,2020
frost,cazo,70.921997,89.543999,0.051074,2020
fog,cazo,73.655998,91.598,0.062616,2020
brightness,cazo,81.346001,96.091995,0.058515,2020
contrast,cazo,69.358002,89.096001,0.045306,2020
elastic_transform,cazo,72.554001,90.835999,0.042383,2020
pixelate,cazo,75.851997,92.909996,0.049769,2020
jpeg_compression,cazo,74.459999,92.419998,0.048246,2020
ImageNet-C_Overall,cazo,68.97839886666665,88.4627972,0.0429262,2020
gaussian_noise,cazo,62.924,84.248001,0.033013,1234
shot_noise,cazo,64.164001,85.377998,0.035458,1234
impulse_noise,cazo,64.414001,85.638,0.035963,1234
defocus_blur,cazo,60.021999,82.495995,0.035635,1234
glass_blur,cazo,61.241997,83.391998,0.033022,1234
motion_blur,cazo,66.103996,86.785995,0.034039,1234
zoom_blur,cazo,65.262001,86.209999,0.033735,1234
snow,cazo,72.914001,91.049995,0.05002,1234
frost,cazo,71.047997,89.599998,0.051242,1234
fog,cazo,73.743996,91.671997,0.060973,1234
brightness,cazo,81.215996,96.059998,0.0583,1234
contrast,cazo,69.473999,89.077995,0.04562,1234
elastic_transform,cazo,72.641998,90.925995,0.041385,1234
pixelate,cazo,75.711998,93.028,0.049406,1234
jpeg_compression,cazo,74.472,92.367996,0.047375,1234
ImageNet-C_Overall,cazo,69.02359866666667,88.528664,0.0430124,1234
