dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,cotta,63.379997,85.089996,0.043551,1234
shot_noise,cotta,64.0,85.531998,0.042433,1234
impulse_noise,cotta,64.671997,85.972,0.048775,1234
defocus_blur,cotta,54.837997,78.181999,0.087201,1234
glass_blur,cotta,53.021999,76.886002,0.11737,1234
motion_blur,cotta,63.905998,85.299995,0.070095,1234
zoom_blur,cotta,56.127998,78.970001,0.11478,1234
snow,cotta,69.07,88.925995,0.049359,1234
frost,cotta,68.549995,88.173996,0.022491,1234
fog,cotta,70.239998,90.764,0.077337,1234
brightness,cotta,78.397995,95.012001,0.030947,1234
contrast,cotta,5.706,9.335999,0.069947,1234
elastic_transform,cotta,63.525997,84.753998,0.092082,1234
pixelate,cotta,73.526001,91.998001,0.04789,1234
jpeg_compression,cotta,71.473999,91.098,0.052306,1234
ImageNet-C_Overall,cotta,61.362398066666664,81.06626539999999,0.0644376,1234
gaussian_noise,cotta,63.029999,84.883995,0.052761,42
shot_noise,cotta,62.141998,83.995995,0.046533,42
impulse_noise,cotta,63.933998,85.624001,0.042339,42
defocus_blur,cotta,55.293999,78.332001,0.074359,42
glass_blur,cotta,50.961998,74.601997,0.126895,42
motion_blur,cotta,63.834,85.017998,0.069309,42
zoom_blur,cotta,57.329998,80.077995,0.103965,42
snow,cotta,68.624001,88.703995,0.057666,42
frost,cotta,68.543999,88.484001,0.007147,42
fog,cotta,72.965996,91.033997,0.078628,42
brightness,cotta,78.633995,94.935997,0.028948,42
contrast,cotta,5.388,10.02,0.096167,42
elastic_transform,cotta,62.257999,83.937996,0.093656,42
pixelate,cotta,74.473999,92.579994,0.044607,42
jpeg_compression,cotta,71.351997,90.899994,0.052352,42
ImageNet-C_Overall,cotta,61.251065066666676,80.87533040000001,0.06502213333333333,42
gaussian_noise,cotta,63.535999,85.166,0.041661,2020
shot_noise,cotta,63.549999,85.411995,0.0304,2020
impulse_noise,cotta,64.192001,85.804001,0.041611,2020
defocus_blur,cotta,55.149998,78.463997,0.077438,2020
glass_blur,cotta,51.115997,74.687996,0.125965,2020
motion_blur,cotta,63.593998,84.945999,0.073515,2020
zoom_blur,cotta,55.967999,78.895996,0.114209,2020
snow,cotta,69.085999,89.068001,0.051216,2020
frost,cotta,69.603996,88.902,0.008028,2020
fog,cotta,71.152,90.916,0.048458,2020
brightness,cotta,78.435997,94.972,0.033369,2020
contrast,cotta,9.704,17.195999,0.162618,2020
elastic_transform,cotta,63.987999,85.040001,0.085843,2020
pixelate,cotta,73.507996,92.009995,0.049244,2020
jpeg_compression,cotta,71.178001,91.059998,0.053717,2020
ImageNet-C_Overall,cotta,61.58413193333334,81.5026652,0.06648613333333334,2020
gaussian_noise,cotta,62.559998,84.267998,0.052575,2025
shot_noise,cotta,64.821999,86.054001,0.046779,2025
impulse_noise,cotta,63.739998,85.287994,0.033054,2025
defocus_blur,cotta,56.051998,79.042,0.069567,2025
glass_blur,cotta,50.809998,74.293999,0.128446,2025
motion_blur,cotta,64.369995,85.554001,0.066024,2025
zoom_blur,cotta,55.118,78.318001,0.118777,2025
snow,cotta,69.375999,89.119995,0.047937,2025
frost,cotta,67.481995,87.625999,0.040447,2025
fog,cotta,73.907997,90.692001,0.125693,2025
brightness,cotta,78.507996,94.967995,0.028765,2025
contrast,cotta,4.016,11.512,0.1737,2025
elastic_transform,cotta,63.737999,84.765999,0.082639,2025
pixelate,cotta,73.153999,91.811996,0.046225,2025
jpeg_compression,cotta,71.519997,91.037994,0.053678,2025
ImageNet-C_Overall,cotta,61.278264533333335,80.9567982,0.07428706666666665,2025
gaussian_noise,cotta,59.549999,81.858002,0.063333,888
shot_noise,cotta,62.945999,84.598,0.042099,888
impulse_noise,cotta,62.691998,84.517998,0.050796,888
defocus_blur,cotta,52.348,76.035995,0.094011,888
glass_blur,cotta,50.411999,74.208,0.128947,888
motion_blur,cotta,64.627998,85.769997,0.067185,888
zoom_blur,cotta,57.368,80.077995,0.107502,888
snow,cotta,68.821999,88.797997,0.05578,888
frost,cotta,67.526001,88.248001,0.009661,888
fog,cotta,73.711998,90.911995,0.101996,888
brightness,cotta,78.372002,94.956001,0.026929,888
contrast,cotta,53.217999,75.335999,0.080447,888
elastic_transform,cotta,63.543999,84.832001,0.089335,888
pixelate,cotta,73.153999,91.801994,0.048053,888
jpeg_compression,cotta,71.206001,90.937996,0.052028,888
ImageNet-C_Overall,cotta,63.966532733333324,84.85919806666668,0.06787346666666667,888
