dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,foa,61.548,83.332001,0.021948,888
shot_noise,foa,63.095997,84.365997,0.022878,888
impulse_noise,foa,63.317997,84.764,0.021157,888
defocus_blur,foa,58.337997,80.888,0.035605,888
glass_blur,foa,55.537998,78.136002,0.034145,888
motion_blur,foa,61.271999,83.141998,0.033854,888
zoom_blur,foa,55.789997,78.809998,0.039307,888
snow,foa,69.153999,88.667999,0.029124,888
frost,foa,68.846001,87.827995,0.031147,888
fog,foa,74.084,91.776001,0.054498,888
brightness,foa,80.965996,95.891998,0.032126,888
contrast,foa,67.222,87.447998,0.037923,888
elastic_transform,foa,61.857998,83.509995,0.030719,888
pixelate,foa,73.872002,92.073997,0.026879,888
jpeg_compression,foa,72.834,91.360001,0.027781,888
ImageNet-C_Overall,foa,65.8490654,86.13293199999998,0.03193939999999999,888
gaussian_noise,foa,61.399998,83.117996,0.023625,42
shot_noise,foa,62.663998,84.115997,0.025156,42
impulse_noise,foa,63.427998,85.035995,0.026093,42
defocus_blur,foa,58.591999,81.181999,0.03647,42
glass_blur,foa,54.357998,77.157997,0.033929,42
motion_blur,foa,60.731998,82.645996,0.030392,42
zoom_blur,foa,56.905998,79.874001,0.040092,42
snow,foa,69.059998,88.417999,0.029079,42
frost,foa,69.417999,88.405998,0.029786,42
fog,foa,73.681999,91.625999,0.048887,42
brightness,foa,80.925995,95.874001,0.033914,42
contrast,foa,66.874001,87.439995,0.033148,42
elastic_transform,foa,63.115997,84.155998,0.03159,42
pixelate,foa,73.745995,91.811996,0.028044,42
jpeg_compression,foa,73.283997,91.584,0.033992,42
ImageNet-C_Overall,foa,65.87906453333333,86.16306446666665,0.032279800000000004,42
gaussian_noise,foa,61.413998,83.297997,0.022935,1234
shot_noise,foa,63.011997,84.528,0.023484,1234
impulse_noise,foa,63.362,84.93,0.023169,1234
defocus_blur,foa,58.445999,81.031998,0.032529,1234
glass_blur,foa,52.68,75.787994,0.035792,1234
motion_blur,foa,60.873997,82.863998,0.032103,1234
zoom_blur,foa,57.275997,80.161995,0.038958,1234
snow,foa,69.797997,88.979996,0.030391,1234
frost,foa,68.855995,88.220001,0.034559,1234
fog,foa,73.304001,91.417999,0.042145,1234
brightness,foa,80.860001,95.905998,0.035848,1234
contrast,foa,67.554001,87.931999,0.029588,1234
elastic_transform,foa,62.411999,83.801994,0.031074,1234
pixelate,foa,73.561996,91.849998,0.028014,1234
jpeg_compression,foa,72.823997,91.357994,0.029617,1234
ImageNet-C_Overall,foa,65.74893166666666,86.13786406666665,0.031347066666666666,1234
gaussian_noise,foa,61.801998,83.405998,0.024786,2020
shot_noise,foa,62.515999,84.047997,0.02493,2020
impulse_noise,foa,63.125999,84.531998,0.021819,2020
defocus_blur,foa,58.733997,81.150002,0.030882,2020
glass_blur,foa,54.017998,76.521996,0.035697,2020
motion_blur,foa,61.121998,82.995995,0.02939,2020
zoom_blur,foa,57.208,79.945999,0.040277,2020
snow,foa,69.582001,89.001999,0.026503,2020
frost,foa,68.491997,87.695999,0.032814,2020
fog,foa,74.068001,91.795998,0.041135,2020
brightness,foa,80.875999,95.902,0.029055,2020
contrast,foa,67.325996,87.678001,0.031879,2020
elastic_transform,foa,63.275997,84.381996,0.030187,2020
pixelate,foa,73.659996,92.009995,0.029927,2020
jpeg_compression,foa,72.321999,91.056,0.027574,2020
ImageNet-C_Overall,foa,65.87519833333333,86.14146486666668,0.030456999999999998,2020
gaussian_noise,foa,61.549999,83.206001,0.022711,2025
shot_noise,foa,62.897999,84.419998,0.027428,2025
impulse_noise,foa,63.427998,84.776001,0.021498,2025
defocus_blur,foa,58.57,81.003998,0.033738,2025
glass_blur,foa,52.711998,75.807999,0.03412,2025
motion_blur,foa,60.933998,82.727997,0.028615,2025
zoom_blur,foa,56.487999,79.327995,0.03929,2025
snow,foa,69.617996,88.881996,0.029409,2025
frost,foa,68.959999,87.903999,0.02872,2025
fog,foa,73.853996,91.703995,0.041104,2025
brightness,foa,80.848,95.959999,0.030411,2025
contrast,foa,67.208,87.487999,0.029235,2025
elastic_transform,foa,62.595997,83.965996,0.031311,2025
pixelate,foa,73.344002,91.797997,0.029607,2025
jpeg_compression,foa,72.717995,91.299995,0.02592,2025
ImageNet-C_Overall,foa,65.71506506666667,86.018131,0.030207800000000003,2025
