dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,lame,56.497997,78.853996,0.064897,2020
shot_noise,lame,56.523998,79.203995,0.036235,2020
impulse_noise,lame,57.231998,79.807999,0.05567,2020
defocus_blur,lame,46.399998,68.507996,0.051342,2020
glass_blur,lame,34.68,57.425999,0.093559,2020
motion_blur,lame,52.722,75.512001,0.021785,2020
zoom_blur,lame,44.188,67.68,0.062207,2020
snow,lame,58.441998,83.447998,0.056087,2020
frost,lame,61.543999,82.813995,0.181023,2020
fog,lame,63.053997,83.377998,0.462884,2020
brightness,lame,77.355995,94.503998,0.076915,2020
contrast,lame,24.726,58.385998,0.290137,2020
elastic_transform,lame,44.559998,68.82,0.105858,2020
pixelate,lame,66.639999,87.315994,0.038643,2020
jpeg_compression,lame,67.189995,88.273994,0.050492,2020
ImageNet-C_Overall,lame,54.11706479999999,76.9287974,0.10984893333333333,2020
gaussian_noise,lame,56.48,78.835999,0.064846,888
shot_noise,lame,56.567997,79.185997,0.036114,888
impulse_noise,lame,57.25,79.793999,0.056042,888
defocus_blur,lame,46.360001,68.439995,0.051208,888
glass_blur,lame,34.854,57.438,0.090821,888
motion_blur,lame,52.73,75.531998,0.022055,888
zoom_blur,lame,44.124001,67.689995,0.062696,888
snow,lame,58.573997,83.442001,0.057627,888
frost,lame,61.562,82.821999,0.180394,888
fog,lame,63.0,83.357994,0.463177,888
brightness,lame,77.400002,94.495995,0.077451,888
contrast,lame,24.722,58.382,0.293275,888
elastic_transform,lame,44.657997,68.839996,0.104385,888
pixelate,lame,66.617996,87.323997,0.03773,888
jpeg_compression,lame,67.223999,88.248001,0.051215,888
ImageNet-C_Overall,lame,54.14159933333334,76.92186439999999,0.10993573333333333,888
gaussian_noise,lame,56.517998,78.832001,0.065324,42
shot_noise,lame,56.534,79.133995,0.035696,42
impulse_noise,lame,57.287998,79.815994,0.056109,42
defocus_blur,lame,46.391998,68.517998,0.051658,42
glass_blur,lame,34.759998,57.397999,0.092684,42
motion_blur,lame,52.689999,75.554001,0.023592,42
zoom_blur,lame,44.153999,67.695999,0.063077,42
snow,lame,58.387997,83.507996,0.056011,42
frost,lame,61.537998,82.821999,0.180608,42
fog,lame,63.065998,83.388,0.462838,42
brightness,lame,77.442001,94.465996,0.078314,42
contrast,lame,24.754,58.355999,0.291425,42
elastic_transform,lame,44.629997,68.849998,0.10461,42
pixelate,lame,66.631996,87.293999,0.038596,42
jpeg_compression,lame,67.264,88.237999,0.052117,42
ImageNet-C_Overall,lame,54.13666513333333,76.92466486666667,0.11017726666666669,42
gaussian_noise,lame,56.549999,78.815994,0.065299,1234
shot_noise,lame,56.505997,79.171997,0.03549,1234
impulse_noise,lame,57.217999,79.844002,0.05548,1234
defocus_blur,lame,46.343998,68.505997,0.051287,1234
glass_blur,lame,34.753998,57.41,0.092925,1234
motion_blur,lame,52.683998,75.563995,0.024525,1234
zoom_blur,lame,44.219997,67.715996,0.061871,1234
snow,lame,58.576,83.528,0.058349,1234
frost,lame,61.503998,82.797997,0.180365,1234
fog,lame,63.143997,83.379997,0.463386,1234
brightness,lame,77.425995,94.507996,0.07802,1234
contrast,lame,24.633999,58.359997,0.292687,1234
elastic_transform,lame,44.681999,68.825996,0.103544,1234
pixelate,lame,66.650002,87.315994,0.039133,1234
jpeg_compression,lame,67.225998,88.234001,0.051143,1234
ImageNet-C_Overall,lame,54.14119826666667,76.93186393333333,0.1102336,1234
gaussian_noise,lame,56.537998,78.797997,0.06609,2025
shot_noise,lame,56.571999,79.150002,0.03612,2025
impulse_noise,lame,57.247997,79.865997,0.055622,2025
defocus_blur,lame,46.405998,68.473999,0.051264,2025
glass_blur,lame,34.784,57.519997,0.091615,2025
motion_blur,lame,52.73,75.551994,0.023187,2025
zoom_blur,lame,44.119999,67.709999,0.063219,2025
snow,lame,58.778,83.475998,0.057459,2025
frost,lame,61.521999,82.813995,0.180026,2025
fog,lame,63.042,83.383995,0.462787,2025
brightness,lame,77.386002,94.5,0.077436,2025
contrast,lame,24.712,58.348,0.294702,2025
elastic_transform,lame,44.601997,68.799995,0.104943,2025
pixelate,lame,66.657997,87.293999,0.040074,2025
jpeg_compression,lame,67.225998,88.259995,0.051447,2025
ImageNet-C_Overall,lame,54.154932266666655,76.92973079999999,0.1103994,2025
