dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,sar,56.755997,78.944,0.075026,42
shot_noise,sar,56.784,79.264,0.045712,42
impulse_noise,sar,57.493999,79.944,0.065608,42
defocus_blur,sar,46.813999,68.701996,0.064119,42
glass_blur,sar,35.568001,57.778,0.061844,42
motion_blur,sar,53.093998,75.765999,0.025433,42
zoom_blur,sar,44.91,68.129997,0.050804,42
snow,sar,62.195999,83.736,0.046197,42
frost,sar,62.545998,82.984001,0.197394,42
fog,sar,65.729996,83.787994,0.492249,42
brightness,sar,77.68,94.568001,0.081996,42
contrast,sar,32.625999,59.231998,0.19304,42
elastic_transform,sar,46.051998,69.306,0.061524,42
pixelate,sar,66.917999,87.389999,0.045453,42
jpeg_compression,sar,67.594002,88.349998,0.060804,42
ImageNet-C_Overall,sar,55.51746566666667,77.1921322,0.1044802,42
gaussian_noise,sar,56.755997,78.944,0.075026,2025
shot_noise,sar,56.787998,79.278,0.045903,2025
impulse_noise,sar,57.493999,79.944,0.065608,2025
defocus_blur,sar,46.841999,68.695999,0.064565,2025
glass_blur,sar,35.529999,57.73,0.062404,2025
motion_blur,sar,53.099998,75.722,0.025252,2025
zoom_blur,sar,44.785999,68.029999,0.049892,2025
snow,sar,62.209999,83.737999,0.045338,2025
frost,sar,62.545998,82.984001,0.197394,2025
fog,sar,65.729996,83.787994,0.492249,2025
brightness,sar,77.639999,94.568001,0.082118,2025
contrast,sar,32.625999,59.231998,0.19304,2025
elastic_transform,sar,46.031998,69.381996,0.061796,2025
pixelate,sar,66.975998,87.407997,0.044411,2025
jpeg_compression,sar,67.603996,88.353996,0.061175,2025
ImageNet-C_Overall,sar,55.510664799999994,77.186532,0.10441139999999999,2025
gaussian_noise,sar,56.755997,78.944,0.075026,1234
shot_noise,sar,56.779999,79.279999,0.045747,1234
impulse_noise,sar,57.503998,79.939995,0.065709,1234
defocus_blur,sar,46.855999,68.729996,0.064668,1234
glass_blur,sar,35.501999,57.725998,0.062761,1234
motion_blur,sar,53.077999,75.713997,0.024629,1234
zoom_blur,sar,44.753998,67.998001,0.049488,1234
snow,sar,62.225998,83.743996,0.045968,1234
frost,sar,62.545998,82.984001,0.197394,1234
fog,sar,65.729996,83.787994,0.492249,1234
brightness,sar,77.661995,94.559998,0.082474,1234
contrast,sar,32.625999,59.231998,0.19304,1234
elastic_transform,sar,46.09,69.318001,0.06094,1234
pixelate,sar,67.019997,87.397995,0.04427,1234
jpeg_compression,sar,67.591995,88.367996,0.060864,1234
ImageNet-C_Overall,sar,55.5147978,77.18159766666666,0.10434846666666668,1234
gaussian_noise,sar,56.755997,78.944,0.075026,2020
shot_noise,sar,56.77,79.281998,0.045623,2020
impulse_noise,sar,57.493999,79.956001,0.065667,2020
defocus_blur,sar,46.837997,68.697998,0.064548,2020
glass_blur,sar,35.531998,57.751999,0.06236,2020
motion_blur,sar,53.091999,75.745995,0.024938,2020
zoom_blur,sar,44.725998,67.975998,0.049642,2020
snow,sar,62.183998,83.743996,0.045416,2020
frost,sar,62.545998,82.984001,0.197394,2020
fog,sar,65.729996,83.787994,0.492249,2020
brightness,sar,77.643997,94.545998,0.084115,2020
contrast,sar,32.625999,59.231998,0.19304,2020
elastic_transform,sar,46.09,69.313995,0.060497,2020
pixelate,sar,66.947998,87.414001,0.046611,2020
jpeg_compression,sar,67.596001,88.357994,0.060778,2020
ImageNet-C_Overall,sar,55.50479833333334,77.1822644,0.10452693333333332,2020
gaussian_noise,sar,56.755997,78.944,0.075026,888
shot_noise,sar,56.785999,79.273994,0.045855,888
impulse_noise,sar,57.503998,79.947998,0.065684,888
defocus_blur,sar,46.795998,68.692001,0.064013,888
glass_blur,sar,35.517998,57.731998,0.062535,888
motion_blur,sar,53.104,75.751999,0.025901,888
zoom_blur,sar,44.757999,67.998001,0.049356,888
snow,sar,62.202,83.739998,0.046452,888
frost,sar,62.545998,82.984001,0.197394,888
fog,sar,65.729996,83.787994,0.492249,888
brightness,sar,77.627998,94.554001,0.082509,888
contrast,sar,32.625999,59.231998,0.19304,888
elastic_transform,sar,46.07,69.327995,0.060974,888
pixelate,sar,66.967995,87.403999,0.043673,888
jpeg_compression,sar,67.594002,88.377998,0.061162,888
ImageNet-C_Overall,sar,55.50573180000001,77.18319833333332,0.10438819999999999,888
