dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,t3a,56.253998,76.498001,0.299013,2025
shot_noise,t3a,56.969997,77.341995,0.299761,2025
impulse_noise,t3a,57.359997,77.841995,0.294626,2025
defocus_blur,t3a,47.785999,66.334,0.311939,2025
glass_blur,t3a,37.751999,56.065998,0.420837,2025
motion_blur,t3a,54.243999,73.93,0.31996,2025
zoom_blur,t3a,46.93,65.841995,0.370065,2025
snow,t3a,63.433998,82.529999,0.257736,2025
frost,t3a,60.945999,79.521996,0.260316,2025
fog,t3a,68.509995,84.734001,0.148252,2025
brightness,t3a,78.110001,94.021996,0.166226,2025
contrast,t3a,38.133999,52.829998,0.06184,2025
elastic_transform,t3a,49.924,68.641998,0.35055,2025
pixelate,t3a,67.743996,86.736,0.24241,2025
jpeg_compression,t3a,68.933998,87.584,0.224884,2025
ImageNet-C_Overall,t3a,56.86879833333334,75.36359813333334,0.268561,2025
gaussian_noise,t3a,56.389999,76.439995,0.295583,2020
shot_noise,t3a,56.927998,77.279999,0.300222,2020
impulse_noise,t3a,57.265999,77.783997,0.296211,2020
defocus_blur,t3a,47.931999,66.157997,0.310945,2020
glass_blur,t3a,37.792,55.981998,0.419797,2020
motion_blur,t3a,54.279999,74.014,0.320547,2020
zoom_blur,t3a,46.891998,65.566002,0.37081,2020
snow,t3a,63.635998,82.411995,0.256841,2020
frost,t3a,60.837997,79.489998,0.262078,2020
fog,t3a,68.489998,84.598,0.146604,2020
brightness,t3a,78.103996,94.059998,0.165508,2020
contrast,t3a,38.271999,52.503998,0.061281,2020
elastic_transform,t3a,49.98,68.664001,0.349597,2020
pixelate,t3a,67.556,86.667999,0.243593,2020
jpeg_compression,t3a,69.063995,87.601997,0.224675,2020
ImageNet-C_Overall,t3a,56.894665,75.28146493333333,0.26828613333333334,2020
gaussian_noise,t3a,56.334,76.489998,0.297719,1234
shot_noise,t3a,56.913998,77.407997,0.301144,1234
impulse_noise,t3a,57.219997,77.767998,0.29552,1234
defocus_blur,t3a,47.905998,66.5,0.310755,1234
glass_blur,t3a,37.669998,56.048,0.423919,1234
motion_blur,t3a,54.197998,73.979996,0.32147,1234
zoom_blur,t3a,47.07,65.979996,0.368448,1234
snow,t3a,63.48,82.475998,0.258381,1234
frost,t3a,61.025997,79.571999,0.259867,1234
fog,t3a,68.375999,84.625999,0.146679,1234
brightness,t3a,78.155998,94.082001,0.165724,1234
contrast,t3a,38.417999,52.785999,0.06447,1234
elastic_transform,t3a,50.049999,68.748001,0.349142,1234
pixelate,t3a,67.608002,86.687996,0.243497,1234
jpeg_compression,t3a,68.881996,87.653999,0.22577,1234
ImageNet-C_Overall,t3a,56.88719859999999,75.38706513333334,0.26883366666666664,1234
gaussian_noise,t3a,56.424,76.461998,0.295941,888
shot_noise,t3a,56.891998,77.341995,0.299836,888
impulse_noise,t3a,57.267998,77.755997,0.295558,888
defocus_blur,t3a,47.995998,66.451996,0.30923,888
glass_blur,t3a,37.719997,55.966,0.422259,888
motion_blur,t3a,54.169998,73.923996,0.321079,888
zoom_blur,t3a,46.897999,65.802002,0.370772,888
snow,t3a,63.584,82.439995,0.257432,888
frost,t3a,60.503998,79.365997,0.26518,888
fog,t3a,68.213997,84.521996,0.146041,888
brightness,t3a,78.054001,94.009995,0.165945,888
contrast,t3a,38.334,52.309998,0.064448,888
elastic_transform,t3a,50.014,68.848,0.348676,888
pixelate,t3a,67.526001,86.673996,0.244422,888
jpeg_compression,t3a,68.877998,87.621994,0.226345,888
ImageNet-C_Overall,t3a,56.831732200000005,75.29973033333334,0.2688776,888
gaussian_noise,t3a,56.455997,76.523994,0.296354,42
shot_noise,t3a,56.967999,77.301994,0.29936,42
impulse_noise,t3a,57.275997,77.765999,0.297016,42
defocus_blur,t3a,47.860001,66.293999,0.311382,42
glass_blur,t3a,37.612,56.007999,0.421148,42
motion_blur,t3a,54.133999,73.911995,0.322282,42
zoom_blur,t3a,46.907997,65.741997,0.370679,42
snow,t3a,63.565998,82.453995,0.256136,42
frost,t3a,60.803997,79.375999,0.261252,42
fog,t3a,68.375999,84.582001,0.144251,42
brightness,t3a,78.105995,94.127998,0.165092,42
contrast,t3a,38.388,52.549999,0.062169,42
elastic_transform,t3a,49.995998,68.799995,0.349855,42
pixelate,t3a,67.643997,86.801994,0.243176,42
jpeg_compression,t3a,68.93,87.701996,0.224386,42
ImageNet-C_Overall,t3a,56.86826493333333,75.3294636,0.2683025333333333,42
