dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,tent,60.264,82.439995,0.136952,888
shot_noise,tent,61.357998,83.416,0.132186,888
impulse_noise,tent,61.949997,83.917999,0.126845,888
defocus_blur,tent,59.109997,81.577995,0.146793,888
glass_blur,tent,56.593998,79.203995,0.15971,888
motion_blur,tent,63.397999,84.431999,0.128373,888
zoom_blur,tent,59.011997,81.323997,0.154042,888
snow,tent,58.334,85.428001,0.204404,888
frost,tent,64.498001,84.617996,0.12218,888
fog,tent,2.888,59.327999,0.916791,888
brightness,tent,79.145996,95.037994,0.06031,888
contrast,tent,67.220001,87.599998,0.11119,888
elastic_transform,tent,61.584,83.362,0.143072,888
pixelate,tent,72.963997,91.456001,0.084514,888
jpeg_compression,tent,70.629997,90.206001,0.093746,888
ImageNet-C_Overall,tent,59.92999853333334,83.55653133333335,0.18140720000000002,888
gaussian_noise,tent,60.281998,82.456001,0.136775,1234
shot_noise,tent,61.519997,83.409996,0.131175,1234
impulse_noise,tent,61.665997,83.753998,0.130098,1234
defocus_blur,tent,59.163998,81.447998,0.146377,1234
glass_blur,tent,56.548,79.139999,0.158429,1234
motion_blur,tent,63.531998,84.598,0.126958,1234
zoom_blur,tent,59.09,81.262001,0.153867,1234
snow,tent,54.507999,84.419998,0.244877,1234
frost,tent,63.716,84.153999,0.128995,1234
fog,tent,2.5,69.208,0.931663,1234
brightness,tent,79.206001,94.993996,0.060274,1234
contrast,tent,67.269997,87.531998,0.108735,1234
elastic_transform,tent,61.195999,82.769997,0.146402,1234
pixelate,tent,72.737999,91.318001,0.084852,1234
jpeg_compression,tent,70.568001,90.139999,0.094032,1234
ImageNet-C_Overall,tent,59.56693226666667,84.04026540000001,0.18556726666666667,1234
gaussian_noise,tent,60.225998,82.411995,0.137393,42
shot_noise,tent,61.401997,83.439995,0.131419,42
impulse_noise,tent,61.713997,83.68,0.12864,42
defocus_blur,tent,59.109997,81.568001,0.147451,42
glass_blur,tent,56.66,79.431999,0.157383,42
motion_blur,tent,63.501999,84.687996,0.127275,42
zoom_blur,tent,58.901997,81.227997,0.155832,42
snow,tent,56.98,85.056,0.21866,42
frost,tent,64.708,84.495995,0.119955,42
fog,tent,2.808,58.855999,0.929231,42
brightness,tent,79.166,95.029999,0.059637,42
contrast,tent,67.535995,87.849998,0.108819,42
elastic_transform,tent,61.369999,82.958,0.145261,42
pixelate,tent,72.764,91.264,0.085367,42
jpeg_compression,tent,70.573997,90.119995,0.094148,42
ImageNet-C_Overall,tent,59.82813173333333,83.47186459999999,0.18309806666666667,42
gaussian_noise,tent,60.34,82.624001,0.136669,2020
shot_noise,tent,61.649998,83.433998,0.130007,2020
impulse_noise,tent,61.787998,83.681999,0.128605,2020
defocus_blur,tent,59.203999,81.585999,0.146975,2020
glass_blur,tent,56.585999,79.287994,0.15838,2020
motion_blur,tent,63.466,84.591995,0.127364,2020
zoom_blur,tent,59.119999,81.304001,0.15414,2020
snow,tent,54.681999,84.523994,0.244067,2020
frost,tent,64.528,84.561996,0.121198,2020
fog,tent,2.578,53.883999,0.928959,2020
brightness,tent,79.155998,95.079994,0.059836,2020
contrast,tent,67.285995,87.463997,0.108835,2020
elastic_transform,tent,61.399998,82.993996,0.144649,2020
pixelate,tent,72.523994,91.206001,0.086716,2020
jpeg_compression,tent,70.629997,90.217995,0.09314,2020
ImageNet-C_Overall,tent,59.66253159999999,83.0961306,0.18463599999999997,2020
gaussian_noise,tent,60.323997,82.598,0.137035,2025
shot_noise,tent,61.75,83.475998,0.128568,2025
impulse_noise,tent,61.779999,83.725998,0.128512,2025
defocus_blur,tent,58.851997,81.355995,0.149214,2025
glass_blur,tent,56.441998,79.181999,0.160278,2025
motion_blur,tent,63.467999,84.605995,0.127708,2025
zoom_blur,tent,59.549999,81.375999,0.150254,2025
snow,tent,58.759998,85.346001,0.199813,2025
frost,tent,63.869999,84.281998,0.129548,2025
fog,tent,2.678,61.889999,0.929944,2025
brightness,tent,79.171997,95.065994,0.060155,2025
contrast,tent,67.491997,87.669998,0.108556,2025
elastic_transform,tent,61.053997,82.734001,0.148042,2025
pixelate,tent,72.727997,91.325996,0.085542,2025
jpeg_compression,tent,70.605995,90.199997,0.094006,2025
ImageNet-C_Overall,tent,59.90173126666666,83.65559786666668,0.18247833333333335,2025
