dataset,method,top1_accuracy,top5_accuracy,ece,seed
gaussian_noise,zo_base,61.913998,83.442001,0.036983,2025
shot_noise,zo_base,63.315998,84.785995,0.039448,2025
impulse_noise,zo_base,63.137997,85.026001,0.036818,2025
defocus_blur,zo_base,55.034,78.136002,0.030919,2025
glass_blur,zo_base,52.104,75.363998,0.030545,2025
motion_blur,zo_base,60.315998,82.388,0.034603,2025
zoom_blur,zo_base,56.028,79.155998,0.038934,2025
snow,zo_base,68.425995,88.107994,0.052727,2025
frost,zo_base,65.923996,85.692001,0.072545,2025
fog,zo_base,71.341995,90.183998,0.112508,2025
brightness,zo_base,79.811996,95.391998,0.072393,2025
contrast,zo_base,61.23,82.32,0.10694,2025
elastic_transform,zo_base,60.595997,82.531998,0.041548,2025
pixelate,zo_base,71.501999,90.459999,0.061198,2025
jpeg_compression,zo_base,71.603996,90.531998,0.063107,2025
ImageNet-C_Overall,zo_base,64.15239766666667,84.90119873333332,0.0554144,2025
gaussian_noise,zo_base,62.205997,83.765999,0.03676,1234
shot_noise,zo_base,61.501999,83.199997,0.048561,1234
impulse_noise,zo_base,62.889999,84.815994,0.042893,1234
defocus_blur,zo_base,54.354,77.299995,0.026824,1234
glass_blur,zo_base,52.953999,76.054001,0.02779,1234
motion_blur,zo_base,60.143997,82.001999,0.036796,1234
zoom_blur,zo_base,56.399998,79.465996,0.039231,1234
snow,zo_base,69.001999,88.444,0.0582,1234
frost,zo_base,67.248001,86.799995,0.058661,1234
fog,zo_base,71.103996,89.863998,0.110731,1234
brightness,zo_base,79.785995,95.479996,0.065634,1234
contrast,zo_base,60.897999,82.113998,0.108033,1234
elastic_transform,zo_base,61.359997,82.981995,0.04052,1234
pixelate,zo_base,70.984001,90.237999,0.058911,1234
jpeg_compression,zo_base,71.903999,90.832001,0.059724,1234
ImageNet-C_Overall,zo_base,64.1823984,84.89053086666668,0.05461793333333334,1234
gaussian_noise,zo_base,60.991997,82.949997,0.036001,888
shot_noise,zo_base,61.618,83.599998,0.04602,888
impulse_noise,zo_base,62.365997,84.259995,0.050423,888
defocus_blur,zo_base,55.071999,78.236,0.029549,888
glass_blur,zo_base,52.065998,75.386002,0.03341,888
motion_blur,zo_base,60.509998,82.475998,0.034268,888
zoom_blur,zo_base,55.095997,78.389999,0.042352,888
snow,zo_base,68.792,88.526001,0.056076,888
frost,zo_base,66.019997,85.834,0.064327,888
fog,zo_base,67.332001,86.902,0.181719,888
brightness,zo_base,79.717995,95.371994,0.074495,888
contrast,zo_base,61.593998,82.869995,0.111921,888
elastic_transform,zo_base,56.59,78.931999,0.038742,888
pixelate,zo_base,70.610001,90.005997,0.061914,888
jpeg_compression,zo_base,69.591995,89.554001,0.06237,888
ImageNet-C_Overall,zo_base,63.19786486666666,84.2195984,0.06157246666666668,888
gaussian_noise,zo_base,61.699997,83.486,0.034429,2020
shot_noise,zo_base,62.491997,84.07,0.040982,2020
impulse_noise,zo_base,63.155998,84.947998,0.037843,2020
defocus_blur,zo_base,54.199997,77.290001,0.027758,2020
glass_blur,zo_base,51.848,75.435997,0.029845,2020
motion_blur,zo_base,59.939999,82.040001,0.033423,2020
zoom_blur,zo_base,52.424,75.287994,0.035859,2020
snow,zo_base,67.855995,87.723999,0.046713,2020
frost,zo_base,65.582001,85.349998,0.086466,2020
fog,zo_base,66.639999,86.325996,0.166068,2020
brightness,zo_base,79.185997,95.171997,0.081726,2020
contrast,zo_base,8.492,17.58,0.017734,2020
elastic_transform,zo_base,56.916,79.136002,0.039197,2020
pixelate,zo_base,70.653999,90.014,0.064889,2020
jpeg_compression,zo_base,70.571999,90.079994,0.066883,2020
ImageNet-C_Overall,zo_base,59.443865200000005,79.59599846666667,0.05398766666666667,2020
gaussian_noise,zo_base,61.519997,83.115997,0.035366,42
shot_noise,zo_base,60.393997,82.629997,0.054957,42
impulse_noise,zo_base,61.439999,83.349998,0.047679,42
defocus_blur,zo_base,54.174,76.858002,0.039805,42
glass_blur,zo_base,51.657997,74.986,0.029291,42
motion_blur,zo_base,60.553997,82.519997,0.03588,42
zoom_blur,zo_base,57.798,80.827995,0.040105,42
snow,zo_base,67.755997,87.720001,0.055221,42
frost,zo_base,67.110001,86.776001,0.059077,42
fog,zo_base,69.701996,88.661995,0.096534,42
brightness,zo_base,79.981995,95.435997,0.076256,42
contrast,zo_base,60.699997,82.049995,0.109915,42
elastic_transform,zo_base,59.907997,81.907997,0.04094,42
pixelate,zo_base,71.117996,90.393997,0.058903,42
jpeg_compression,zo_base,70.573997,90.127998,0.061879,42
ImageNet-C_Overall,zo_base,63.62586420000001,84.49079779999998,0.05612053333333333,42
