method,quant_type,dataset,top1_accuracy,ece
cazo,quant8_bs64,gaussian_noise,61.761997,0.031503
cazo,quant8_bs64,shot_noise,63.331997,0.034094
cazo,quant8_bs64,impulse_noise,63.335999,0.034864
cazo,quant8_bs64,defocus_blur,58.655998,0.033687
cazo,quant8_bs64,glass_blur,60.135998,0.035175
cazo,quant8_bs64,motion_blur,64.891998,0.035734
cazo,quant8_bs64,zoom_blur,63.841999,0.034322
cazo,quant8_bs64,snow,72.110001,0.050555
cazo,quant8_bs64,frost,69.891998,0.047766
cazo,quant8_bs64,fog,73.208,0.062231
cazo,quant8_bs64,brightness,80.801994,0.059393
cazo,quant8_bs64,contrast,64.944,0.040002
cazo,quant8_bs64,elastic_transform,71.767998,0.043323
cazo,quant8_bs64,pixelate,74.911995,0.050765
cazo,quant8_bs64,jpeg_compression,73.863998,0.048995
cazo,quant8_bs64,ImageNet-C_Overall,67.830398,0.04282726666666666
cazo,quant6_bs64,gaussian_noise,52.675999,0.020725
cazo,quant6_bs64,shot_noise,53.983997,0.026481
cazo,quant6_bs64,impulse_noise,54.405998,0.024052
cazo,quant6_bs64,defocus_blur,51.239998,0.031755
cazo,quant6_bs64,glass_blur,54.109997,0.029047
cazo,quant6_bs64,motion_blur,58.334,0.02841
cazo,quant6_bs64,zoom_blur,58.261997,0.027792
cazo,quant6_bs64,snow,65.893997,0.046662
cazo,quant6_bs64,frost,66.059998,0.046832
cazo,quant6_bs64,fog,68.529999,0.047672
cazo,quant6_bs64,brightness,78.325996,0.05604
cazo,quant6_bs64,contrast,48.223999,0.035992
cazo,quant6_bs64,elastic_transform,67.084,0.040689
cazo,quant6_bs64,pixelate,70.737999,0.045256
cazo,quant6_bs64,jpeg_compression,70.493996,0.046525
cazo,quant6_bs64,ImageNet-C_Overall,61.22413133333334,0.03692866666666667
