method,quant_type,dataset,top1_accuracy,ece
foa,quant8_bs64,gaussian_noise,60.584,0.031674
foa,quant8_bs64,shot_noise,61.549999,0.031845
foa,quant8_bs64,impulse_noise,61.501999,0.031634
foa,quant8_bs64,defocus_blur,57.039997,0.037961
foa,quant8_bs64,glass_blur,47.321999,0.039122
foa,quant8_bs64,motion_blur,58.623997,0.032216
foa,quant8_bs64,zoom_blur,52.403999,0.043812
foa,quant8_bs64,snow,67.183998,0.037763
foa,quant8_bs64,frost,67.723999,0.034277
foa,quant8_bs64,fog,72.832001,0.05814
foa,quant8_bs64,brightness,79.993996,0.036884
foa,quant8_bs64,contrast,62.309998,0.041012
foa,quant8_bs64,elastic_transform,58.275997,0.035675
foa,quant8_bs64,pixelate,71.610001,0.039847
foa,quant8_bs64,jpeg_compression,70.145996,0.029293
foa,quant8_bs64,ImageNet-C_Overall,63.27346506666666,0.03741033333333334
foa,quant6_bs64,gaussian_noise,49.48,0.040472
foa,quant6_bs64,shot_noise,50.085999,0.037691
foa,quant6_bs64,impulse_noise,53.253998,0.032237
foa,quant6_bs64,defocus_blur,47.907997,0.026821
foa,quant6_bs64,glass_blur,35.905998,0.023443
foa,quant6_bs64,motion_blur,48.913998,0.046246
foa,quant6_bs64,zoom_blur,44.891998,0.031286
foa,quant6_bs64,snow,59.007999,0.077028
foa,quant6_bs64,frost,64.517998,0.057212
foa,quant6_bs64,fog,68.159996,0.070726
foa,quant6_bs64,brightness,76.017998,0.060273
foa,quant6_bs64,contrast,42.571999,0.054181
foa,quant6_bs64,elastic_transform,48.275997,0.027453
foa,quant6_bs64,pixelate,65.306,0.052692
foa,quant6_bs64,jpeg_compression,66.970001,0.057019
foa,quant6_bs64,ImageNet-C_Overall,54.75119840000001,0.04631866666666666
