method,quant_type,dataset,top1_accuracy,ece
lame,quant8_bs64,gaussian_noise,55.708,0.068599
lame,quant8_bs64,shot_noise,55.609997,0.043342
lame,quant8_bs64,impulse_noise,56.511997,0.061874
lame,quant8_bs64,defocus_blur,45.689999,0.060402
lame,quant8_bs64,glass_blur,34.211998,0.084365
lame,quant8_bs64,motion_blur,52.416,0.024111
lame,quant8_bs64,zoom_blur,42.882,0.059695
lame,quant8_bs64,snow,57.149998,0.062828
lame,quant8_bs64,frost,59.747997,0.179004
lame,quant8_bs64,fog,65.262001,0.479862
lame,quant8_bs64,brightness,76.82,0.094543
lame,quant8_bs64,contrast,8.042,0.425971
lame,quant8_bs64,elastic_transform,43.461998,0.099498
lame,quant8_bs64,pixelate,66.014,0.053516
lame,quant8_bs64,jpeg_compression,66.43,0.071639
lame,quant8_bs64,ImageNet-C_Overall,52.397199,0.1246166
lame,quant6_bs64,gaussian_noise,43.789997,0.082617
lame,quant6_bs64,shot_noise,42.32,0.050608
lame,quant6_bs64,impulse_noise,44.509998,0.084617
lame,quant6_bs64,defocus_blur,37.700001,0.029303
lame,quant6_bs64,glass_blur,27.851999,0.088814
lame,quant6_bs64,motion_blur,42.933998,0.018027
lame,quant6_bs64,zoom_blur,34.854,0.074185
lame,quant6_bs64,snow,43.905998,0.180773
lame,quant6_bs64,frost,59.245998,0.148709
lame,quant6_bs64,fog,54.101997,0.309613
lame,quant6_bs64,brightness,74.722,0.10652
lame,quant6_bs64,contrast,24.604,0.142943
lame,quant6_bs64,elastic_transform,37.245998,0.097275
lame,quant6_bs64,pixelate,59.285999,0.03891
lame,quant6_bs64,jpeg_compression,64.834,0.059875
lame,quant6_bs64,ImageNet-C_Overall,46.12706553333332,0.1008526
