method,quant_type,dataset,top1_accuracy,ece
no_adapt,quant8_bs64,gaussian_noise,55.941998,0.077971
no_adapt,quant8_bs64,shot_noise,55.785999,0.052779
no_adapt,quant8_bs64,impulse_noise,56.771999,0.071989
no_adapt,quant8_bs64,defocus_blur,46.113998,0.072703
no_adapt,quant8_bs64,glass_blur,34.950001,0.05497
no_adapt,quant8_bs64,motion_blur,52.775997,0.030163
no_adapt,quant8_bs64,zoom_blur,43.633999,0.049095
no_adapt,quant8_bs64,snow,61.084,0.05171
no_adapt,quant8_bs64,frost,61.0,0.198213
no_adapt,quant8_bs64,fog,66.360001,0.492917
no_adapt,quant8_bs64,brightness,77.087997,0.103946
no_adapt,quant8_bs64,contrast,22.642,0.113429
no_adapt,quant8_bs64,elastic_transform,44.896,0.058083
no_adapt,quant8_bs64,pixelate,66.362,0.064668
no_adapt,quant8_bs64,jpeg_compression,66.795998,0.082194
no_adapt,quant8_bs64,ImageNet-C_Overall,54.146799133333325,0.10498866666666667
no_adapt,quant6_bs64,gaussian_noise,44.021999,0.090922
no_adapt,quant6_bs64,shot_noise,42.596001,0.059985
no_adapt,quant6_bs64,impulse_noise,44.708,0.092796
no_adapt,quant6_bs64,defocus_blur,38.177998,0.041858
no_adapt,quant6_bs64,glass_blur,28.667999,0.051535
no_adapt,quant6_bs64,motion_blur,43.475998,0.0334
no_adapt,quant6_bs64,zoom_blur,35.667999,0.042811
no_adapt,quant6_bs64,snow,52.587997,0.025409
no_adapt,quant6_bs64,frost,60.545998,0.168957
no_adapt,quant6_bs64,fog,58.973999,0.352158
no_adapt,quant6_bs64,brightness,74.991997,0.115953
no_adapt,quant6_bs64,contrast,25.414,0.156352
no_adapt,quant6_bs64,elastic_transform,38.879997,0.043481
no_adapt,quant6_bs64,pixelate,59.666,0.050914
no_adapt,quant6_bs64,jpeg_compression,65.215996,0.070627
no_adapt,quant6_bs64,ImageNet-C_Overall,47.572798533333334,0.09314386666666667
