dataset,method,top1_accuracy,top5_accuracy,ece,quant_type,exp_name
gaussian_noise,cazo,61.761997,83.498001,0.031503,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
shot_noise,cazo,63.331997,84.737999,0.034094,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
impulse_noise,cazo,63.335999,84.862,0.034864,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
defocus_blur,cazo,58.655998,81.234001,0.033687,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
glass_blur,cazo,60.135998,82.169998,0.035175,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
motion_blur,cazo,64.891998,85.967995,0.035734,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
zoom_blur,cazo,63.841999,85.110001,0.034322,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
snow,cazo,72.110001,90.657997,0.050555,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
frost,cazo,69.891998,88.939995,0.047766,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
fog,cazo,73.208,91.271996,0.062231,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
brightness,cazo,80.801994,95.871994,0.059393,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
contrast,cazo,64.944,85.900002,0.040002,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
elastic_transform,cazo,71.767998,90.281998,0.043323,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
pixelate,cazo,74.911995,92.419998,0.050765,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
jpeg_compression,cazo,73.863998,91.953995,0.048995,quant8_bs64,cazo_quant8_bs64_adapter3_rf384_nu0.8
gaussian_noise,foa,60.584,82.507996,0.031674,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
shot_noise,foa,61.549999,83.327995,0.031845,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
impulse_noise,foa,61.501999,83.625999,0.031634,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
defocus_blur,foa,57.039997,79.759995,0.037961,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
glass_blur,foa,47.321999,70.666,0.039122,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
motion_blur,foa,58.623997,80.785995,0.032216,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
zoom_blur,foa,52.403999,75.743996,0.043812,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
snow,foa,67.183998,87.026001,0.037763,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
frost,foa,67.723999,87.152,0.034277,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
fog,foa,72.832001,90.919998,0.05814,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
brightness,foa,79.993996,95.473999,0.036884,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
contrast,foa,62.309998,83.916,0.041012,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
elastic_transform,foa,58.275997,80.395996,0.035675,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
pixelate,foa,71.610001,90.649994,0.039847,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
jpeg_compression,foa,70.145996,89.767998,0.029293,quant8_bs64,foa_quant8_bs64_prompts3_lambda0.4
gaussian_noise,t3a,55.689999,76.012001,0.303361,quant8_bs64,t3a_quant8_bs64_classification
shot_noise,t3a,55.987999,76.577995,0.307826,quant8_bs64,t3a_quant8_bs64_classification
impulse_noise,t3a,56.463997,77.444,0.301771,quant8_bs64,t3a_quant8_bs64_classification
defocus_blur,t3a,47.098,65.841995,0.326439,quant8_bs64,t3a_quant8_bs64_classification
glass_blur,t3a,36.972,55.545998,0.431081,quant8_bs64,t3a_quant8_bs64_classification
motion_blur,t3a,53.759998,73.863998,0.329493,quant8_bs64,t3a_quant8_bs64_classification
zoom_blur,t3a,45.778,64.816002,0.381547,quant8_bs64,t3a_quant8_bs64_classification
