method,quant_type,dataset,top1_accuracy,ece
t3a,quant8_bs64,gaussian_noise,55.689999,0.303361
t3a,quant8_bs64,shot_noise,55.987999,0.307826
t3a,quant8_bs64,impulse_noise,56.463997,0.301771
t3a,quant8_bs64,defocus_blur,47.098,0.326439
t3a,quant8_bs64,glass_blur,36.972,0.431081
t3a,quant8_bs64,motion_blur,53.759998,0.329493
t3a,quant8_bs64,zoom_blur,45.778,0.381547
t3a,quant8_bs64,snow,62.646,0.265484
t3a,quant8_bs64,frost,59.306,0.272992
t3a,quant8_bs64,fog,68.444,0.113601
t3a,quant8_bs64,brightness,77.435997,0.171754
t3a,quant8_bs64,contrast,32.48,0.054859
t3a,quant8_bs64,elastic_transform,48.41,0.363552
t3a,quant8_bs64,pixelate,66.958,0.249853
t3a,quant8_bs64,jpeg_compression,68.197998,0.230094
t3a,quant8_bs64,ImageNet-C_Overall,55.70853253333333,0.27358046666666663
t3a,quant6_bs64,gaussian_noise,43.068001,0.321962
t3a,quant6_bs64,shot_noise,42.003998,0.347498
t3a,quant6_bs64,impulse_noise,44.045998,0.319576
t3a,quant6_bs64,defocus_blur,39.641998,0.322879
t3a,quant6_bs64,glass_blur,31.65,0.3981
t3a,quant6_bs64,motion_blur,44.733997,0.337163
t3a,quant6_bs64,zoom_blur,38.365997,0.383483
t3a,quant6_bs64,snow,55.977997,0.28667
t3a,quant6_bs64,frost,60.549999,0.261034
t3a,quant6_bs64,fog,63.059998,0.0735
t3a,quant6_bs64,brightness,75.236,0.181945
t3a,quant6_bs64,contrast,24.298,0.099408
t3a,quant6_bs64,elastic_transform,43.245998,0.348834
t3a,quant6_bs64,pixelate,60.459999,0.284065
t3a,quant6_bs64,jpeg_compression,66.178001,0.245813
t3a,quant6_bs64,ImageNet-C_Overall,48.83439873333334,0.28079533333333334
