method,quant_type,dataset,top1_accuracy,ece
zo_base,quant8_bs64,gaussian_noise,60.967999,0.036505
zo_base,quant8_bs64,shot_noise,61.745998,0.03574
zo_base,quant8_bs64,impulse_noise,61.087997,0.042554
zo_base,quant8_bs64,defocus_blur,54.119999,0.033344
zo_base,quant8_bs64,glass_blur,53.042,0.03344
zo_base,quant8_bs64,motion_blur,59.627998,0.03599
zo_base,quant8_bs64,zoom_blur,51.331997,0.061598
zo_base,quant8_bs64,snow,68.344002,0.059594
zo_base,quant8_bs64,frost,65.928001,0.061088
zo_base,quant8_bs64,fog,69.031998,0.140049
zo_base,quant8_bs64,brightness,79.863998,0.071537
zo_base,quant8_bs64,contrast,46.34,0.092951
zo_base,quant8_bs64,elastic_transform,55.281998,0.040136
zo_base,quant8_bs64,pixelate,70.103996,0.068168
zo_base,quant8_bs64,jpeg_compression,70.636002,0.052434
zo_base,quant8_bs64,ImageNet-C_Overall,61.83026553333334,0.057675199999999996
zo_base,quant6_bs64,gaussian_noise,48.473999,0.023362
zo_base,quant6_bs64,shot_noise,48.18,0.02808
zo_base,quant6_bs64,impulse_noise,51.5,0.040367
zo_base,quant6_bs64,defocus_blur,46.284,0.028438
zo_base,quant6_bs64,glass_blur,43.947998,0.030979
zo_base,quant6_bs64,motion_blur,49.523998,0.034197
zo_base,quant6_bs64,zoom_blur,46.958,0.025995
zo_base,quant6_bs64,snow,62.531998,0.064624
zo_base,quant6_bs64,frost,62.459999,0.067453
zo_base,quant6_bs64,fog,66.612,0.15664
zo_base,quant6_bs64,brightness,76.725998,0.072481
zo_base,quant6_bs64,contrast,44.689999,0.045989
zo_base,quant6_bs64,elastic_transform,53.125999,0.040848
zo_base,quant6_bs64,pixelate,64.881996,0.062555
zo_base,quant6_bs64,jpeg_compression,67.493996,0.056424
zo_base,quant6_bs64,ImageNet-C_Overall,55.559332000000005,0.051895466666666674
